Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards
maigallery-vietnam.com,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0
elvin-trade.kz,0,0,1,5,0,0,0,1,1,0,1,1,0,0,1,0
hm-onlineapplication.ga,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
ramrokaam.com,0,0,0,3,0,0,0,0,0,1,0,1,1,1,1,1
playarprint.com,0,0,0,2,0,0,1,0,0,1,1,1,0,0,1,0
cellidplus.com,0,0,0,5,0,0,0,0,0,1,0,1,0,0,1,0
paypal-rimborso.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
lnrpro.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
ringring.vn,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0
wozapple.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
suncityfoaminsulation.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
kbagro.co.th,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
olariacassiel.com.br,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
firstcbuk.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
gulfeducationservices.com,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0
w2mgqyeeato6a7.000webhostapp.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
newweb99841020lkm-com.preview-domain.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
thegioisport.com,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0
secure.runescape.com-zx.ru,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0
betasus-giir.blogspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0
simbacorporation.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
createchsoft.com,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0
login.live.com.skyhigh9157.ms-office-365-email.skyhigh9157.myshn.net,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
schaaf.ch.net2care.com,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0
pearlfilms.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
thegioisport.com,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0
emotivaodontologia.com.br,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
novageracaotransportes.com.br,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
night-kingdom.mysteria.cz,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0
vkontaktee.byethost4.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
xn--72ca8ce9ah4dwbp9a8jnd.com,0,0,1,5,0,0,0,1,0,1,0,1,0,0,1,0
kickass.to,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
gmailerstellen.de,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
megogo.net,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
pagesyouraccount.cloudns.asia,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
demo.mkt.exoret.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0
nf3ftix-refu31paym.com,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1
fr.imsly.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0
abano5.ge,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
vanillaprepaycard.com,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
americamegapromoco.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
verificare.sella.corporateportal.aggiorniituoidati.com,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1
vardhaman.org,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0
gwisalltrack.com,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0
edoism.com,0,0,0,4,0,0,0,0,1,1,1,1,0,0,1,0
squads.com.au,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0
oncopharma-ae.com,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0
jugem.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
honestum-hk.xyz,0,0,1,3,0,0,0,1,0,1,1,1,1,1,1,1
aapj-bbempresarial.com,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0
kunstpris.dk,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
pacoboats.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
oneminuteadvantage.com,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0
maxvirtude.com.br,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0
caixaeconomicafederal.epizy.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
getpocket.com,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0
locksmail.com,0,0,1,6,0,0,0,0,0,0,1,1,0,0,1,0
cartoworld.co.ke,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0
170.84.83.54,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
korea-collagen.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
epg.unas.edu.pe,0,0,1,7,0,0,1,0,1,0,1,1,0,0,1,0
kshconsultingllc.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
dhlaexpdeliver.com,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1
cloudserver009964.home.pl,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0
ettalee.com,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
shortlink.net,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
depositphotos.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
ganhar.giftgratis.online,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
adventures9.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
betindianasports.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0
wezcollege.edu.pe,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
betasus2021.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0
showmore.a3579.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
eiepl.com,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0
smart.lce9v.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
bymckenzieerin.com,0,0,1,4,1,0,0,0,0,1,0,1,0,0,1,0
update.troyvanspanje.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
nesn.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
www14.aqui-no-digital.com,0,0,1,6,0,0,0,1,1,1,1,1,1,1,1,1
infopublishersassociation.com,0,0,1,8,0,0,0,0,0,1,0,1,1,0,1,0
tachegandodiasdasmae.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
zasobygwp.pl,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
sanoltechnologies.com,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
secured.suntrust.int-groups.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
dawanasaiacademy.in,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0
saipropertiespune.com,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
communityreview.info,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
algertzharri.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,1,0
sppiscina.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
nationwide-com.com,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0
rigoniemedeiros.com.br,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0
cuny620-my.sharepoint.com,0,0,1,7,0,0,1,1,0,0,1,1,0,0,1,0
87.138.95.150:8080,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
ballroad.com,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0
mun4afghanistan.com,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0
outlook-renew.dns.army,0,0,0,2,0,0,0,1,1,0,1,1,0,0,1,0
medexsc-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0
playarprint.com,0,0,1,2,0,0,1,0,0,1,0,1,0,0,1,0
stackoverflow.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
lovetheedit.com,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0
correios.com.br,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
irmasbeneditinasdp.com.br,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
lowcy-nagrod.pl,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
account-amazn.com,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0
alibita.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
themeforest.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
medienschmiede-sander.de,0,0,1,2,0,0,0,1,0,1,1,1,0,0,1,0
uncommoncbd.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
vizagsource.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0
chat.whatscpp.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
split.to,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
steamcommunity.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
kentridge.lk,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0
myegy.to,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
reiscomunicacao.com.br,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0
netservice-upd.tumblr.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
toriyamabattery.com,0,0,0,2,0,0,0,0,0,1,0,1,1,0,1,0
unischolarboard.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
decifra.com.br,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
patio.com.br,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0
kolaseum.pl,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
zahletechpark.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0
groups-chats-whatsapps7.wikaba.com,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
uproxx.com,0,0,1,6,0,0,1,0,0,1,0,1,0,0,1,0
67.211.218.74,1,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0
billingsmontanarealestate.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
chatwhatsapp-invitee.join-wa18.my.id,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
onedrivestoragedatayu.dns-cloud.net,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1
gizmodo.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0
lovelouisa.org,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0
madrugadaolanches.com.br,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
davidwinogrondspacetet.com,0,0,1,2,0,0,1,0,0,1,0,1,0,0,1,0
thcsminhduc.edu.vn,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
dzd.rksmb.org,0,0,1,5,0,0,1,0,0,0,0,1,0,0,1,0
gesical.com,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0
naofiquedeforadessamega.com,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0
rockysite.net,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0
excelcarela.org,0,0,1,6,0,0,0,0,0,1,1,1,1,0,1,0
emgn.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1
didierpajot.com,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
pegionshamza.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
wausaueats.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
dusperdesi.net,0,0,1,8,0,0,0,0,1,0,1,1,0,0,1,0
viveromonteverde.com,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0
uload-300.mountainjaynik.gb.net,0,0,1,5,0,0,0,1,1,1,1,1,0,0,1,0
dankpogs.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
babal.net,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0
teespring.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
c1770209.ferozo.com,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1
dbsdemoonline.com,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0
delegatesinrwanda.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
thenine9.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
kotaku.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
cestainhouse.com.br,0,0,0,2,1,0,0,0,0,1,1,1,0,0,1,0
metallbaulang.de,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
aljazeera.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
dobadongthap.vn,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0
neku.ga,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0
eischool.com.ng,0,0,0,4,0,0,0,0,1,1,1,1,1,0,1,0
messageriie06.webnode.pt,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
lankeshpatrike.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
verfiayiosnmer.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
arman-ati.net,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0
shiny-tulip-william.glitch.me,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
216.222.194.94,1,0,0,3,0,0,0,0,0,0,0,1,1,1,1,1
allegro.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1
hamt.jp,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0
enquiry-id-918412.net,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1
bigcinema.tv,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1
sunoffer.club,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
storage.googleapis.com,0,0,1,2,0,0,1,0,1,1,1,1,0,0,1,0
taddepol.edu.hk,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
securingbravoonly.quibee.com.my,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0
kensonsitepcrepair.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0
vegancenter.hu,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
wdestaques13.amesucessodeofertas-20.com,0,0,1,5,0,0,0,1,0,1,0,1,1,1,1,1
bankcampuscareers.tal.net,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
ftp.warfacebonus.hop.ru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kenovel.store,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0
saudeproturb.com,0,0,1,2,0,0,0,0,1,0,1,1,1,1,1,1
acct-piedmontcancerinstitute-inv.org,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0
jalopnik.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0
watch-series-tv.to,0,0,1,2,0,0,0,1,0,0,1,1,0,0,1,0
csgoxskin.com,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0
merrylu.co.il,0,0,1,7,0,0,0,0,1,1,1,1,0,0,1,0
xn--trtkatkpay-3ubd.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
chat-whatsapp1.grup-wa69.ml,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
peacefulplushes.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0
esenmedia.com,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0
69.167.151.209,1,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
powr.io,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
paypalp.ontraport.com,0,0,1,12,0,0,1,0,1,1,1,1,0,0,1,0
syosetu.com,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
olx.ro,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0
stateagencybe.tumblr.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
greenpoint.art.br,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
dev.seatassignmate.net,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
sanjoaquinvalleybrewfest.com,0,1,1,8,0,0,1,0,0,1,0,1,0,0,1,0
nebojsega.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
165.22.103.235,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
educacion.rionegro.gov.ar,0,0,1,9,0,0,0,0,0,1,1,0,0,0,1,0
snip.ly,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
trafftraff.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0
gerdalights.buzz,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
berrycollege2-my.sharepoint.com,0,0,1,5,0,0,1,1,0,0,1,1,0,0,1,0
start-123.ru,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0
wordpress.org,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0
travisusd-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,0,1,0,1,1,0,1,0
on-me-ro.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0
